FIPS,Income,Education,Black,Hispanic,Rurality
6113,91192.0,0.8841179315,0.0272235926,0.3339061593,0.0804794758
6115,71493.0,0.846613019,0.0442476844,0.314563356,0.2951271836
8001,95278.0,0.8498581181,0.0363859646,0.4317793631,0.0404101838
8003,50056.0,0.8910019017,0.0125487841,0.4872410687,0.3304225696
8005,97560.0,0.9196437055,0.1102016428,0.2199521081,0.0206359626
8007,74432.0,0.9534584253,0.0062019875,0.1681584326,0.5784115578
8009,47421.0,0.8579454254,0.0098684211,0.1088516746,1.0
8011,44960.0,0.8118651893,0.0644252772,0.3323358564,1.0
8013,97170.0,0.9552599151,0.0107180775,0.1474156368,0.0940264483
8014,113162.0,0.9607666629,0.0141816289,0.1453161593,0.0039534758
8015,75298.0,0.9459425324,0.0179463549,0.1020517049,0.4356644075
8017,63177.0,0.9170692432,0.0138969311,0.1268094962,1.0
8019,94093.0,0.94561286,0.0106045698,0.0807915163,1.0
8021,53174.0,0.8905413444,0.0071798963,0.4960776492,1.0
8023,38731.0,0.8965003723,0.0217750827,0.5407938258,1.0
8025,46979.0,0.8293660146,0.1087650816,0.2971965933,1.0
8027,77137.0,0.9645337302,0.0097578605,0.0529454283,1.0
8029,57075.0,0.9100487973,0.0042840043,0.1456561457,0.7374663418
8031,93572.0,0.9135575083,0.0910369716,0.2789204789,0.0001453484
8033,57701.0,0.9618708693,0.0163151612,0.0819737366,1.0
8035,144807.0,0.9798889491,0.0177230885,0.1041687288,0.0901452045
8037,110598.0,0.9316684618,0.0094334418,0.3045181221,0.1851034433
8039,123083.0,0.9680807669,0.0127751163,0.096438242,1.0
8041,88794.0,0.9510566246,0.0599504176,0.190869574,0.102504809
8043,61015.0,0.9056156969,0.0414165905,0.1360745658,0.4945340117
8045,94696.0,0.8844410148,0.0076387006,0.3278262395,0.3211639783
8047,88589.0,0.9407577978,0.0131623355,0.0717178535,1.0
8049,93257.0,0.9435976852,0.0114213994,0.1012864763,0.6832092639
8051,79658.0,0.9827314165,0.0062352058,0.1020726286,0.5727627379
8053,71541.0,1.0,0.0130718954,0.0640522876,1.0
8055,47855.0,0.9290847201,0.0097802977,0.3007795889,1.0
8057,96811.0,0.8444647758,0.0030557678,0.1237585943,1.0
8059,102146.0,0.9547537805,0.0136840133,0.1623811953,0.0714844487
8061,55523.0,0.908994709,0.0057803468,0.0852601156,1.0
8063,55304.0,0.8898071625,0.0078638833,0.2060337432,1.0
8065,86215.0,0.9194449798,0.0081466395,0.3488119484,0.389725659
8067,83542.0,0.9640418084,0.0052830322,0.1279273849,0.6564578166
8069,88519.0,0.9664245372,0.0114626009,0.1311726106,0.1024407769
8071,52067.0,0.896159985,0.0177028157,0.3844438249,0.4281690141
8073,58034.0,0.8807251908,0.046350365,0.1518248175,1.0
8075,55415.0,0.8937854598,0.032930792,0.1754207285,0.429672984
8077,66339.0,0.9235130538,0.0075525579,0.1564807335,0.126715606
8079,37108.0,0.9780701754,0.0042372881,0.061440678,1.0
8081,73875.0,0.9150745445,0.0087791701,0.1729571546,0.2739993981
8083,60809.0,0.9096006708,0.0073875843,0.1267950699,0.6662153275
8085,67113.0,0.9096104725,0.0055485098,0.2159162968,0.4256425877
8087,68541.0,0.8460286629,0.0355304159,0.3898861943,0.3459173508
8089,52169.0,0.8920269734,0.009925011,0.4231363035,0.5830925629
8091,92760.0,0.9731934732,0.0036707883,0.0681993818,1.0
8093,103720.0,0.9730441411,0.0094386488,0.0801457195,1.0
8095,59367.0,0.9052038449,0.0073726542,0.2714477212,1.0
8097,109268.0,0.9699932821,0.0098557692,0.1170673077,0.3296462726
8099,50365.0,0.8472295515,0.0091907072,0.4080503787,0.3747812318
8101,63801.0,0.9045715161,0.0203338409,0.4244194969,0.1314625183
8103,72088.0,0.9324884793,0.0144618663,0.109757954,1.0
8105,55574.0,0.8934911243,0.0075974258,0.4087415088,1.0
8107,112377.0,0.965223375,0.0104931376,0.0906080434,0.4178178743
8109,47829.0,0.8826086957,0.0106160287,0.3630382775,1.0
8111,102689.0,1.0,0.0024937656,0.1558603491,1.0
8113,94927.0,0.9829195002,0.0057193696,0.1179461108,0.4317393459
8115,45999.0,0.9124924562,0.0078294911,0.1670291431,1.0
8117,105135.0,0.9492985889,0.0135237157,0.1705235516,0.1610046691
8119,88089.0,0.9615679069,0.0103180729,0.0788479506,0.6008093889
8121,54255.0,0.8965416178,0.0133882595,0.1221421215,1.0
8123,90675.0,0.8845731201,0.0143528024,0.3128293299,0.2001361781
8125,61870.0,0.8377723971,0.0053741635,0.3088622997,1.0
9110,90965.0,0.9116521245,0.1247241953,0.1793263394,0.1198097205
9120,92858.0,0.8725613379,0.1262868113,0.2678612304,0.0285808127
9130,99807.0,0.9522764716,0.0526288908,0.0801918111,0.3134280385
9140,81392.0,0.9033304699,0.1228449032,0.2072334959,0.0920342114
9150,88129.0,0.9210511492,0.0212840773,0.056188723,0.6240403574
9160,91206.0,0.9406025009,0.0326714436,0.0932021893,0.6002417713
9170,80953.0,0.9166668766,0.1385794092,0.1992931544,0.0362742709
9180,82733.0,0.9264270206,0.0540456454,0.1520630538,0.2611097244
9190,121285.0,0.9168239044,0.1033839979,0.2086304529,0.0846218429
10001,72498.0,0.9019521279,0.2851377056,0.0831660423,0.2647167186
10003,86798.0,0.9259126368,0.2616420552,0.1189197224,0.0609424253
10005,78092.0,0.8964215741,0.1078445138,0.1139695418,0.3758183151
